instance;solutionCost;iterations;time;solutionSize
20;99.0;0;0.001;9
20;107.0;3;0.04;9
20;120.0;4;0.041;10
40;294.0;0;0.012;19
40;329.0;2;0.017;18
40;340.0;3;0.018;19
40;352.0;4;0.02;20
60;457.0;0;0.013;28
60;470.0;1;0.018;27
60;480.0;5;0.029;27
60;490.0;6;0.033;28
80;699.0;0;0.017;35
80;716.0;1;0.022;35
80;750.0;2;0.026;34
80;756.0;3;0.032;33
80;757.0;4;0.036;32
80;766.0;5;0.04;32
80;774.0;6;0.043;33
80;779.0;7;0.047;33
80;787.0;8;0.05;33
80;793.0;9;0.053;34
80;798.0;10;0.057;34
80;803.0;12;0.062;35
80;810.0;13;0.065;36
80;822.0;14;0.068;36
80;828.0;15;0.071;37
100;1106.0;0;0.025;40
100;1109.0;15;0.095;43
100;1140.0;16;0.101;43
100;1142.0;17;0.107;43
200;3503.0;0;0.247;85
200;3504.0;3;0.367;84
200;3552.0;5;0.49;84
200;3554.0;6;0.561;85
200;3556.0;7;0.603;86
200;3564.0;8;0.653;86
400;9675.0;0;3.017;175
400;9707.0;1;3.642;175
400;9747.0;2;4.276;175
400;9757.0;3;4.92;174
400;9886.0;4;5.724;174
400;9899.0;5;6.397;174
400;9917.0;6;7.071;175
400;9923.0;7;7.735;176
400;9930.0;8;8.395;177
400;9940.0;9;9.056;177
400;9951.0;10;9.712;178
400;9954.0;11;10.35;179
20;99.0;0;0.001;9
20;107.0;3;0.032;9
20;120.0;4;0.033;10
40;294.0;0;0.002;19
40;329.0;2;0.004;18
40;340.0;3;0.006;19
40;352.0;4;0.007;20
40;355.0;1413;0.353;19
40;366.0;1414;0.355;20
60;457.0;0;0.004;28
60;470.0;1;0.006;27
60;480.0;5;0.01;27
60;490.0;6;0.012;28
60;499.0;461;0.387;27
60;503.0;462;0.389;28
60;508.0;3764;3.01;25
80;699.0;0;0.01;35
80;716.0;1;0.013;35
80;750.0;2;0.017;34
80;756.0;3;0.021;33
80;757.0;4;0.024;32
80;766.0;5;0.03;32
80;774.0;6;0.035;33
80;779.0;7;0.038;33
80;787.0;8;0.042;33
80;793.0;9;0.046;34
80;798.0;10;0.05;34
80;803.0;12;0.058;35
80;810.0;13;0.063;36
80;822.0;14;0.067;36
80;828.0;15;0.072;37
80;833.0;253;0.464;38
80;837.0;441;0.787;36
80;839.0;442;0.789;37
80;843.0;443;0.793;37
80;849.0;1175;2.096;36
80;851.0;4786;8.277;36
100;1106.0;0;0.02;40
100;1109.0;15;0.084;43
100;1140.0;16;0.089;43
100;1142.0;17;0.095;43
100;1171.0;35;0.166;44
100;1203.0;36;0.171;44
100;1214.0;37;0.176;44
100;1227.0;38;0.181;44
100;1237.0;39;0.186;44
100;1244.0;40;0.191;45
100;1248.0;41;0.196;46
100;1258.0;379;1.37;48
100;1262.0;380;1.374;49
200;3503.0;0;0.182;85
200;3504.0;3;0.301;84
200;3552.0;5;0.386;84
200;3554.0;6;0.43;85
200;3556.0;7;0.477;86
200;3564.0;8;0.528;86
200;3600.0;20;0.946;88
200;3602.0;70;3.002;87
200;3628.0;71;3.043;87
200;3637.0;176;6.235;91
200;3647.0;177;6.279;91
200;3657.0;178;6.321;92
200;3671.0;179;6.358;93
200;3674.0;197;6.886;93
200;3697.0;198;6.917;94
200;3718.0;199;6.945;95
200;3721.0;200;6.972;96
200;3727.0;201;6.998;97
200;3728.0;204;7.068;97
200;3732.0;258;8.689;90
200;3733.0;259;8.724;91
400;9675.0;0;3.103;175
400;9707.0;1;3.736;175
400;9747.0;2;4.384;175
400;9757.0;3;5.047;174
400;9886.0;4;5.734;174
400;9899.0;5;6.412;174
400;9917.0;6;7.112;175
400;9923.0;7;7.794;176
400;9930.0;8;8.45;177
400;9940.0;9;9.112;177
400;9951.0;10;9.776;178
400;9954.0;11;10.422;179
